branch	ahead	behind	disposition
feat/state-integrity-graph-reasoning-stubs	2	1	INTEGRATED (427745d: tui.py + agent_machine_adapter.py + cli wiring) into integ/agent-term-backlog-batch-1 (PR#90); 2nd commit captured by #89 (identical); backed up to backup/*
copilot/implement-git-workspace-state-classifier	0	207	DELETED captured (fully merged)
feat/network-byom-native-assistant-events	0	217	DELETED captured (fully merged)
feat/office-commands	0	221	DELETED captured (fully merged)
ops-history-dry-run-contracts	0	213	DELETED captured (fully merged)
ops-history-dry-run-demo	0	206	DELETED captured (fully merged)
seed/agentterm-chatops-core	0	193	DELETED captured (fully merged)
sourceos/m1-repo-manifest	0	208	DELETED captured (fully merged)
work/agent-registry-adapter	0	230	DELETED captured (fully merged)
work/agent-registry-service-backend	0	209	DELETED captured (fully merged)
work/ci-smoke-runner	0	209	DELETED captured (fully merged)
work/cloudshell-agentplane-adapters	0	225	DELETED captured (fully merged)
work/dispatch-cli	0	216	DELETED captured (fully merged)
work/generated-interaction-types	0	202	DELETED captured (fully merged)
work/knowledge-adapters	0	226	DELETED captured (fully merged)
work/knowledge-adapters-current	0	227	DELETED captured (fully merged)
work/matrix-adapter-scaffold	0	229	DELETED captured (fully merged)
work/matrix-adapter-scaffold-rebased	0	228	DELETED captured (fully merged)
work/matrix-cli	0	214	DELETED captured (fully merged)
work/matrix-incremental-sync	0	212	DELETED captured (fully merged)
work/matrix-service-backend	0	214	DELETED captured (fully merged)
work/matrix-sync-state	0	96	DELETED captured (fully merged)
work/noetica-interaction-artifact-import	0	199	DELETED captured (fully merged)
work/operator-dispatch-pipeline	0	221	DELETED captured (fully merged)
work/operator-quickstart-docs	0	206	DELETED captured (fully merged)
work/operator-smoke-runner	0	207	DELETED captured (fully merged)
work/pipeline-config-runtime	0	217	DELETED captured (fully merged)
work/policy-fabric-admission	0	229	DELETED captured (fully merged)
work/policy-fabric-service-backend	0	208	DELETED captured (fully merged)
work/predispatch-boundary-v0	0	205	DELETED captured (fully merged)
work/predispatch-boundary-v1	0	203	DELETED captured (fully merged)
work/registered-participants	0	225	DELETED captured (fully merged)
work/release-polish	0	206	DELETED captured (fully merged)
work/service-health-check	0	206	DELETED captured (fully merged)
work/sourceos-contract-sync	0	202	DELETED captured (fully merged)
work/sourceos-interaction-reference-pointer	0	202	DELETED captured (fully merged)
work/sourceos-interaction-render-43	0	202	DELETED captured (fully merged)
work/tui-scaffold	0	226	DELETED captured (fully merged)
work/tui-scaffold-current	0	221	DELETED captured (fully merged)
work/workspace-adapters	0	229	DELETED captured (fully merged)
work/workspace-adapters-current	0	226	DELETED captured (fully merged)
